IU Barcode,MDPI Barcode,Title(s) on Media,Series Title(s),Series Part(s),Country(s) of Origin,Title(s) Summary,Title(s) Original Identifiers,Title(s) Publishers,Title(s) Creators,Title(s) Genres,Title(s) Forms,Title(s) Dates,Title(s) Locations,Title(s) Notes,Title(s) Subject,Title(s) Name Authority,IUCat Title Control Number(s),Catalog Key(s),Alternative Title(s),Media Type,Medium,Version,Unit,Collection,Gauge,Generation,Generation Notes,Can Size,Footage,Duration,Reel Dates,Base,Stock,Original Identifiers,Reel Number,Multiple Items in Can,Picture Type,Frame Rate,Color,Aspect Ratio,Anamorphic,Sound,Captions/Subtitles,Format Type,Content Type,Sound Field,Track Count,Languages,Format Notes,Accompanying Documentation,Accompanying Documentation Location,Overall Condition,Condition Notes,Research Value,Research Value Notes,AD Strip,Shrinkage,Mold,Conditions,Missing Footage,Miscellaneous,Conservation Actions
30000149830832,,AMF5K,"","","","","","","","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Placed in can
30000149830998,,Skamper Travel Trailers and Making a Skamper Camper,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,A Roll,,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Recanned
30000149831004,,Skamper Travel Trailers and Making a Skamper Camper,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,B Roll,,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,Includes Receiving Ticket from Colburn Laboratory,"Box 6, Folder 005",,,,,0.5,,,,,,Recanned
30000149831020,,No title,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,Reversal,,800,,,,"","",W.O. 40891,,No,"",,"Eco, Color","",,,No,"","","",,,,,,,,,,0.5,,,,,,Placed in can
30000149831046,,[Untitled Frink],"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Placed in can
30000149831160,,Alumaframe Engineering,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"A Roll, Camera Original",,800,,,,"","",5325,,No,"",,"Ektachrome, Color","",,,No,"","","",,,,Timing Sheet,"Box 5, Folder 60",,,,,0.5,,,,,,Recanned
30000149831210,,Profitable Ideas and Tools for Industry,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, B Roll",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,Wrapped in paper,,,,,,0.5,,,,,,Recanned
30000149831269,,Alumaframe Engineering,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, A Roll",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,Wrapped in paper,,,,,,0.5,,,,,,Recanned
30000149831277,,Alumaframe Engineering (Holiday Rambler),"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",7271-12,,No,"",,"","",,,No,"","","",,,,Exposure sheet and two timing sheets,"Box 6, Folder 001",,,,,0.5,,,,,,Recanned
30000149831285,,Profit Ideas,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Recanned
